"","PreyUniprotAcc","diferEnsamb","Bait","PreyGeneName","MIST","SAINT_BFDR","AvgSpec","FoldChange","Uniprot Protein ID","Uniprot Protein Description","Uniprot Function","Structures (PDB)","Uniprot Function in Disease"
"66","P28300","ENSP00000231004","Orf8","LOX","0.985331119","0.0","2.67","26.67","LYOX_HUMAN","Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]"," Responsible for the post-translational oxidative deamination of peptidyl lysine residues in precursors to fibrous collagen and elastin (PubMed:26838787). Regulator of Ras expression. May play a role in tumor suppression. Plays a role in the aortic wall architecture (By similarity). {ECO:0000250|UniProtKB:P28301, ECO:0000269|PubMed:26838787}.",NA," Aortic aneurysm, familial thoracic 10 (AAT10) [MIM:617168]: A form of thoracic aortic aneurysm, a disease characterized by permanent dilation of the thoracic aorta usually due to degenerative changes in the aortic wall. It is primarily associated with a characteristic histologic appearance known as 'medial necrosis' or 'Erdheim cystic medial necrosis' in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance. {ECO:0000269|PubMed:26838787, ECO:0000269|PubMed:27432961}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"67","P29122","ENSP00000482760","Orf8","PCSK6","0.721790867","0.0","3.67","36.67","PCSK6_HUMAN","Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4)"," Serine endoprotease that processes various proproteins by cleavage at paired basic amino acids, recognizing the RXXX[KR]R consensus motif. Likely functions in the constitutive secretory pathway, with unique restricted distribution in both neuroendocrine and non-neuroendocrine tissues.",NA,NA
"68","P31323","ENSP00000491687","Nsp13","PRKAR2B","0.983191506","0.0","6.67","66.67","KAP3_HUMAN","cAMP-dependent protein kinase type II-beta regulatory subunit"," Regulatory subunit of the cAMP-dependent protein kinases involved in cAMP signaling in cells. Type II regulatory chains mediate membrane association by binding to anchoring proteins, including the MAP2 kinase.",NA,NA
"69","P33527","ENSP00000483316","Orf9c","ABCC1","0.77999958","0.0","12.67","126.67","MRP1_HUMAN","Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)"," Mediates export of organic anions and drugs from the cytoplasm (PubMed:7961706, PubMed:16230346, PubMed:9281595, PubMed:10064732, PubMed:11114332). Mediates ATP-dependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol-17-beta-o-glucuronide, methotrexate, antiviral drugs and other xenobiotics (PubMed:7961706, PubMed:16230346, PubMed:9281595, PubMed:10064732, PubMed:11114332). Confers resistance to anticancer drugs by decreasing accumulation of drug in cells, and by mediating ATP- and GSH-dependent drug export (PubMed:9281595). Hydrolyzes ATP with low efficiency (PubMed:16230346). Catalyzes the export of sphingosine 1-phosphate from mast cells independently of their degranulation (PubMed:17050692). Participates in inflammatory response by allowing export of leukotriene C4 from leukotriene C4-synthezing cells (By similarity). {ECO:0000250|UniProtKB:O35379, ECO:0000269|PubMed:10064732, ECO:0000269|PubMed:11114332, ECO:0000269|PubMed:16230346, ECO:0000269|PubMed:17050692, ECO:0000269|PubMed:7961706, ECO:0000269|PubMed:9281595}.","2CBZ;4C3Z",NA
"70","P35241","ENSP00000437301","Nsp13","RDX","0.912028315","0.0","7.0","70.0","RADI_HUMAN","Radixin"," Probably plays a crucial role in the binding of the barbed end of actin filaments to the plasma membrane.",NA," Deafness, autosomal recessive, 24 (DFNB24) [MIM:611022]: A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. {ECO:0000269|PubMed:17226784}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"71","P35555","ENSP00000325527","Nsp9","FBN1","0.992372395","0.0","15.33","153.33","FBN1_HUMAN","Fibrillin-1 [Cleaved into: Asprosin]"," [Fibrillin-1]: Structural component of the 10-12 nm diameter microfibrils of the extracellular matrix, which conveys both structural and regulatory properties to load-bearing connective tissues (PubMed:1860873, PubMed:15062093). Fibrillin-1-containing microfibrils provide long-term force bearing structural support. In tissues such as the lung, blood vessels and skin, microfibrils form the periphery of the elastic fiber, acting as a scaffold for the deposition of elastin. In addition, microfibrils can occur as elastin-independent networks in tissues such as the ciliary zonule, tendon, cornea and glomerulus where they provide tensile strength and have anchoring roles. Fibrillin-1 also plays a key role in tissue homeostasis through specific interactions with growth factors, such as the bone morphogenetic proteins (BMPs), growth and differentiation factors (GDFs) and latent transforming growth factor-beta-binding proteins (LTBPs), cell-surface integrins and other extracellular matrix protein and proteoglycan components (PubMed:27026396). Regulates osteoblast maturation by controlling TGF-beta bioavailability and calibrating TGF-beta and BMP levels, respectively (By similarity). Negatively regulates osteoclastogenesis by binding and sequestering an osteoclast differentiation and activation factor TNFSF11. This leads to disruption of TNFSF11-induced Ca(2+) signaling and impairment of TNFSF11-mediated nuclear translocation and activation of transcription factor NFATC1 which regulates genes important for osteoclast differentiation and function (PubMed:24039232). Mediates cell adhesion via its binding to cell surface receptors integrins ITGAV:ITGB3 and ITGA5:ITGB1 (PubMed:12807887, PubMed:17158881). Binds heparin and this interaction has an important role in the assembly of microfibrils (PubMed:11461921). {ECO:0000250|UniProtKB:Q61554, ECO:0000269|PubMed:11461921, ECO:0000269|PubMed:12807887, ECO:0000269|PubMed:15062093, ECO:0000269|PubMed:17158881, ECO:0000269|PubMed:1860873, ECO:0000269|PubMed:24039232, ECO:0000303|PubMed:27026396}.; FUNCTION: [Asprosin]: Hormone that targets the liver to increase plasma glucose levels. Secreted by white adipose tissue and circulates in the plasma. Acts in response to fasting and promotes blood glucose elevation by binding to the surface of hepatocytes. Promotes hepatocyte glucose release by activating the protein kinase A activity in the liver, resulting in rapid glucose release into the circulation. {ECO:0000269|PubMed:27087445}.","1APJ;1EMN;1EMO;1LMJ;1UZJ;1UZK;1UZP;1UZQ;2M74;2W86;5MS9"," Marfan syndrome (MFS) [MIM:154700]: A hereditary disorder of connective tissue that affects the skeletal, ocular, and cardiovascular systems. A wide variety of skeletal abnormalities occurs with Marfan syndrome, including scoliosis, chest wall deformity, tall stature, abnormal joint mobility. Ectopia lentis occurs in most of the patients and is almost always bilateral. The leading cause of premature death is progressive dilation of the aortic root and ascending aorta, causing aortic incompetence and dissection. Neonatal Marfan syndrome is the most severe form resulting in death from cardiorespiratory failure in the first few years of life. {ECO:0000269|PubMed:10425041, ECO:0000269|PubMed:10441597, ECO:0000269|PubMed:10694921, ECO:0000269|PubMed:11700157, ECO:0000269|PubMed:11826022, ECO:0000269|PubMed:12161601, ECO:0000269|PubMed:12203992, ECO:0000269|PubMed:12402346, ECO:0000269|PubMed:1301946, ECO:0000269|PubMed:14695540, ECO:0000269|PubMed:15161917, ECO:0000269|PubMed:15221638, ECO:0000269|PubMed:1569206, ECO:0000269|PubMed:16220557, ECO:0000269|PubMed:16222657, ECO:0000269|PubMed:17657824, ECO:0000269|PubMed:18435798, ECO:0000269|PubMed:1852208, ECO:0000269|PubMed:19533785, ECO:0000269|PubMed:19941982, ECO:0000269|PubMed:20803651, ECO:0000269|PubMed:21542060, ECO:0000269|PubMed:22772377, ECO:0000269|PubMed:7611299, ECO:0000269|PubMed:7738200, ECO:0000269|PubMed:7762551, ECO:0000269|PubMed:7870075, ECO:0000269|PubMed:7951214, ECO:0000269|PubMed:7977366, ECO:0000269|PubMed:8004112, ECO:0000269|PubMed:8040326, ECO:0000269|PubMed:8071963, ECO:0000269|PubMed:8136837, ECO:0000269|PubMed:8281141, ECO:0000269|PubMed:8406497, ECO:0000269|PubMed:8504310, ECO:0000269|PubMed:8863159, ECO:0000269|PubMed:8882780, ECO:0000269|PubMed:9016526, ECO:0000269|PubMed:9254848, ECO:0000269|PubMed:9338581, ECO:0000269|PubMed:9401003, ECO:0000269|PubMed:9452085, ECO:0000269|PubMed:9837823, ECO:0000269|Ref.68}. Note=The disease is caused by mutations affecting the gene represented in this entry. The majority of the more than a thousand mutations in FBN1 currently known are point mutations, the rest are frameshifts and splice site mutations. Marfan syndrome has been suggested in at least 2 historical figures, Abraham Lincoln and Paganini.; DISEASE: Ectopia lentis 1, isolated, autosomal dominant (ECTOL1) [MIM:129600]: An ocular abnormality characterized by partial or complete displacement of the lens from its space resulting from defective zonule formation. {ECO:0000269|PubMed:11700157, ECO:0000269|PubMed:11826022, ECO:0000269|PubMed:12203992, ECO:0000269|PubMed:17657824, ECO:0000269|PubMed:8188302}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Weill-Marchesani syndrome 2 (WMS2) [MIM:608328]: A rare connective tissue disorder characterized by short stature, brachydactyly, joint stiffness, and eye abnormalities including microspherophakia, ectopia lentis, severe myopia and glaucoma. {ECO:0000269|PubMed:12525539}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Overlap connective tissue disease (OCTD) [MIM:604308]: Heritable disorder of connective tissue characterized by involvement of the mitral valve, aorta, skeleton, and skin. MASS syndrome is closely resembling both the Marfan syndrome and the Barlow syndrome. However, no dislocation of the lenses or aneurysmal changes occur in the aorta, and the mitral valve prolapse is by no means invariable. {ECO:0000269|PubMed:2739055}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Stiff skin syndrome (SSKS) [MIM:184900]: A syndrome characterized by hard, thick skin, usually over the entire body, which limits joint mobility and causes flexion contractures. Other occasional findings include lipodystrophy and muscle weakness. {ECO:0000269|PubMed:20375004}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Geleophysic dysplasia 2 (GPHYSD2) [MIM:614185]: An autosomal dominant disorder characterized by severe short stature, short hands and feet, joint limitations, and skin thickening. Radiologic features include delayed bone age, cone-shaped epiphyses, shortened long tubular bones, and ovoid vertebral bodies. Affected individuals have characteristic facial features including a 'happy' face with full cheeks, shortened nose, hypertelorism, long and flat philtrum, and thin upper lip. Other distinctive features include progressive cardiac valvular thickening often leading to an early death, toe walking, tracheal stenosis, respiratory insufficiency, and lysosomal-like storage vacuoles in various tissues. {ECO:0000269|PubMed:21683322}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Acromicric dysplasia (ACMICD) [MIM:102370]: An autosomal dominant disorder characterized by severe short stature, short hands and feet, joint limitations, and skin thickening. Radiologic features include delayed bone age, cone-shaped epiphyses, shortened long tubular bones, and ovoid vertebral bodies. Affected individuals have distinct facial features, including round face, well-defined eyebrows, long eyelashes, bulbous nose with anteverted nostrils, long and prominent philtrum, and thick lips with a small mouth. Other characteristic features include hoarse voice and pseudomuscular build, and there are distinct skeletal features as well, including an internal notch of the femoral head, internal notch of the second metacarpal, and external notch of the fifth metacarpal. {ECO:0000269|PubMed:21683322}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: [Asprosin]: Marfanoid-progeroid-lipodystrophy syndrome (MFLS) [MIM:616914]: An autosomal dominant syndrome characterized by congenital lipodystrophy, a progeroid facial appearance due to lack of subcutaneous fat, and variable signs of Marfan syndrome. Clinical features include premature birth with an accelerated linear growth disproportionate to the weight gain, ectopia lentis, aortic dilatation, dural ectasia, and arachnodactyly. Mental and motor development are within normal limits. {ECO:0000269|PubMed:20979188, ECO:0000269|PubMed:21594992, ECO:0000269|PubMed:21594993, ECO:0000269|PubMed:24039054, ECO:0000269|PubMed:24613577, ECO:0000269|PubMed:24665001, ECO:0000269|PubMed:26860060, ECO:0000269|PubMed:27087445}. Note=The disease is caused by mutations affecting the gene represented in this entry. {ECO:0000269|PubMed:27087445}."
"72","P35556","ENSP00000424571","Nsp9","FBN2","0.991012329","0.0","83.0","830.0","FBN2_HUMAN","Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide]"," [Fibrillin-2]: Fibrillins are structural components of 10-12 nm extracellular calcium-binding microfibrils, which occur either in association with elastin or in elastin-free bundles. Fibrillin-2-containing microfibrils regulate the early process of elastic fiber assembly. Regulates osteoblast maturation by controlling TGF-beta bioavailability and calibrating TGF-beta and BMP levels, respectively. {ECO:0000250|UniProtKB:Q61555}.",NA," Contractural arachnodactyly, congenital (CCA) [MIM:121050]: An autosomal dominant connective tissue disorder characterized by contractures, arachnodactyly, scoliosis, and crumpled ears. {ECO:0000269|PubMed:10797416, ECO:0000269|PubMed:11754102, ECO:0000269|PubMed:19006240, ECO:0000269|PubMed:20799338, ECO:0000269|PubMed:25834781, ECO:0000269|PubMed:27196565, ECO:0000269|PubMed:7493032, ECO:0000269|PubMed:9714438, ECO:0000269|PubMed:9737771}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Macular degeneration, early-onset (EOMD) [MIM:616118]: An ocular disorder characterized by macular changes resulting in progressive loss of visual acuity. {ECO:0000269|PubMed:24899048}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"73","P35658","ENSP00000352400","Nsp9","NUP214","0.962233264","0.0","8.33","83.33","NU214_HUMAN","Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)"," Has a critical role in nucleocytoplasmic transport (PubMed:31178128). May serve as a docking site in the receptor-mediated import of substrates across the nuclear pore complex (PubMed:31178128, PubMed:8108440). {ECO:0000269|PubMed:31178128, ECO:0000303|PubMed:8108440}.","2OIT;3FHC;3FMO;3FMP;5DIS"," Note=A chromosomal aberration involving NUP214 is found in a subset of acute myeloid leukemia (AML); also known as acute non-lymphocytic leukemia. Translocation t(6;9)(p23;q34) with DEK. It results in the formation of a DEK-CAN fusion gene. {ECO:0000269|PubMed:1549122}.; DISEASE: Note=A chromosomal aberration involving NUP214 is found in some cases of acute undifferentiated leukemia (AUL). Translocation t(6;9)(q21;q34.1) with SET. {ECO:0000269|PubMed:1630450}.; DISEASE: Encephalopathy, acute, infection-induced, 9 (IIAE9) [MIM:618426]: An autosomal recessive disorder characterized by infancy-onset of episodic neurodevelopmental regression in association with infection-induced febrile illness. Clinical features include poor overall growth, seizures, myoclonic jerks, microcephaly, ataxia, and cerebellar atrophy. {ECO:0000269|PubMed:30758658, ECO:0000269|PubMed:31178128}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry."
"74","P37198","ENSP00000407331","Nsp9","NUP62","0.993010451","0.0","18.0","180.0","NUP62_HUMAN","Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)"," Essential component of the nuclear pore complex (PubMed:1915414). The N-terminal is probably involved in nucleocytoplasmic transport (PubMed:1915414). The C-terminal is involved in protein-protein interaction probably via coiled-coil formation, promotes its association with centrosomes and may function in anchorage of p62 to the pore complex (PubMed:1915414, PubMed:24107630). Plays a role in mitotic cell cycle progression by regulating centrosome segregation, centriole maturation and spindle orientation (PubMed:24107630). It might be involved in protein recruitment to the centrosome after nuclear breakdown (PubMed:24107630). {ECO:0000269|PubMed:1915414, ECO:0000269|PubMed:24107630}.","2H4D;5IJN;5IJO"," Infantile striatonigral degeneration (SNDI) [MIM:271930]: Neurological disorder characterized by symmetrical degeneration of the caudate nucleus, putamen, and occasionally the globus pallidus, with little involvement of the rest of the brain. The clinical features include developmental regression, choreoathetosis, dystonia, spasticity, dysphagia, failure to thrive, nystagmus, optic atrophy, and mental retardation. {ECO:0000269|PubMed:16786527}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"75","P38435","ENSP00000233838","M","GGCX","0.789966998","0.01","2.0","20.0","VKGC_HUMAN","Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)"," Mediates the vitamin K-dependent carboxylation of glutamate residues to calcium-binding gamma-carboxyglutamate (Gla) residues with the concomitant conversion of the reduced hydroquinone form of vitamin K to vitamin K epoxide.",NA," Combined deficiency of vitamin K-dependent clotting factors 1 (VKCFD1) [MIM:277450]: VKCFD leads to a bleeding tendency that is usually reversed by oral administration of vitamin K. {ECO:0000269|PubMed:10934213, ECO:0000269|PubMed:11071668, ECO:0000269|PubMed:15287948, ECO:0000269|PubMed:9845520}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency (PXEL-MCFD) [MIM:610842]: Characterized by hyperlaxity of the skin involving the entire body. Important phenotypic differences with classical PXE include much more severe skin laxity with spreading toward the trunk and limbs with thick, leathery skin folds rather than confinement to flexural areas, and no decrease in visual acuity. Moreover, detailed electron microscopic analyzes revealed that alterations of elastic fibers as well as their mineralization are slightly different from those in classic PXE. {ECO:0000269|PubMed:17110937}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"76","P38606","ENSP00000273398","M","ATP6V1A","0.794938493","0.05","2.67","26.67","VATA_HUMAN","V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)"," Catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation. May play a role in neurite development and synaptic connectivity.",NA," Cutis laxa, autosomal recessive, 2D (ARCL2D) [MIM:617403]: A form of cutis laxa, a disorder characterized by an excessive congenital skin wrinkling, a large fontanelle with delayed closure, a typical facial appearance with downslanting palpebral fissures, and a general connective tissue weakness. Most ARCL2D patients exhibit severe hypotonia as well as cardiovascular and neurologic involvement. {ECO:0000269|PubMed:28065471}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Epileptic encephalopathy, infantile or early childhood, 3 (IECEE3) [MIM:618012]: A form of epileptic encephalopathy, a heterogeneous group of severe childhood onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. IECEE3 is an autosomal dominant form characterized by onset of seizures in the first years of life.The severity of the phenotype is highly variable: some patients may be non-verbal and non-ambulatory with spastic quadriparesis and poor eye contact, whereas others have moderate intellectual disability. {ECO:0000269|PubMed:29668857}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"77","P48556","ENSP00000481136","M","PSMD8","0.881424779","0.05","2.0","20.0","PSMD8_HUMAN","26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)"," Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair.","5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSG;6MSH;6MSJ;6MSK",NA
"78","P49454","ENSP00000355922","Nsp13","CENPF","0.873840643","0.0","20.0","200.0","CENPF_HUMAN","Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)"," Required for kinetochore function and chromosome segregation in mitosis. Required for kinetochore localization of dynein, LIS1, NDE1 and NDEL1. Regulates recycling of the plasma membrane by acting as a link between recycling vesicles and the microtubule network though its association with STX4 and SNAP25. Acts as a potential inhibitor of pocket protein-mediated cellular processes during development by regulating the activity of RB proteins during cell division and proliferation. May play a regulatory or permissive role in the normal embryonic cardiomyocyte cell cycle and in promoting continued mitosis in transformed, abnormally dividing neonatal cardiomyocytes. Interaction with RB directs embryonic stem cells toward a cardiac lineage. Involved in the regulation of DNA synthesis and hence cell cycle progression, via its C-terminus. Has a potential role regulating skeletal myogenesis and in cell differentiation in embryogenesis. Involved in dendritic cell regulation of T-cell immunity against chlamydia. {ECO:0000269|PubMed:12974617, ECO:0000269|PubMed:17600710, ECO:0000269|PubMed:7542657, ECO:0000269|PubMed:7651420}.",NA," Stromme syndrome (STROMS) [MIM:243605]: An autosomal recessive congenital disorder characterized by intestinal atresia, ocular anomalies, microcephaly, and renal and cardiac abnormalities in some patients. The disease has features of a ciliopathy, and lethality in early childhood is observed in severe cases. {ECO:0000269|PubMed:25564561, ECO:0000269|PubMed:26820108}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"79","P49642","ENSP00000350491","Nsp1","PRIM1","0.981268688","0.0","3.33","33.33","PRI1_HUMAN","DNA primase small subunit (EC 2.7.7.-) (DNA primase 49 kDa subunit) (p49)"," Catalytic subunit of the DNA primase complex and component of the DNA polymerase alpha complex (also known as the alpha DNA polymerase-primase complex) which play an essential role in the initiation of DNA synthesis (PubMed:9268648, PubMed:9705292, PubMed:17893144). During the S phase of the cell cycle, the DNA polymerase alpha complex (composed of a catalytic subunit POLA1, an accessory subunit POLA2 and two primase subunits, the catalytic subunit PRIM1 and the regulatory subunit PRIM2) is recruited to DNA at the replicative forks via direct interactions with MCM10 and WDHD1 (By similarity). The primase subunit of the polymerase alpha complex initiates DNA synthesis by oligomerising short RNA primers on both leading and lagging strands (PubMed:17893144). These primers are initially extended by the polymerase alpha catalytic subunit and subsequently transferred to polymerase delta and polymerase epsilon for processive synthesis on the lagging and leading strand, respectively (By similarity). In the primase complex, both subunits are necessary for the initial di-nucleotide formation, but the extension of the primer depends only on the catalytic subunit (PubMed:17893144). Can add both ribo- and deoxynucleotides during elongation of the primers (By similarity). Binds single stranded DNA (By similarity). {ECO:0000250|UniProtKB:P09884, ECO:0000250|UniProtKB:P20664, ECO:0000269|PubMed:17893144, ECO:0000269|PubMed:9268648, ECO:0000269|PubMed:9705292}.","4BPU;4BPW;4BPX;4LIK;4LIL;4MHQ;4RR2;5EXR;6R4S;6R4T;6R4U;6R5D;6R5E;6RB4",NA
"80","P49643","ENSP00000483201","Nsp1","PRIM2","0.993975192","0.0","4.67","46.67","PRI2_HUMAN","DNA primase large subunit (DNA primase 58 kDa subunit) (p58)"," Regulatory subunit of the DNA primase complex and component of the DNA polymerase alpha complex (also known as the alpha DNA polymerase-primase complex) which play an essential role in the initiation of DNA synthesis (PubMed:9705292, PubMed:17893144). During the S phase of the cell cycle, the DNA polymerase alpha complex (composed of a catalytic subunit POLA1, an accessory subunit POLA2 and two primase subunits, the catalytic subunit PRIM1 and the regulatory subunit PRIM2) is recruited to DNA at the replicative forks via direct interactions with MCM10 and WDHD1 (By similarity). The primase subunit of the polymerase alpha complex initiates DNA synthesis by oligomerising short RNA primers on both leading and lagging strands (PubMed:17893144). These primers are initially extended by the polymerase alpha catalytic subunit and subsequently transferred to polymerase delta and polymerase epsilon for processive synthesis on the lagging and leading strand, respectively (By similarity). In the primase complex, both subunits are necessary for the initial di-nucleotide formation, but the extension of the primer depends only on the catalytic subunit (PubMed:17893144). Stabilizes and modulates the activity of the catalytic subunit (By similarity). {ECO:0000250|UniProtKB:P09884, ECO:0000250|UniProtKB:P33610, ECO:0000269|PubMed:17893144, ECO:0000269|PubMed:9705292}.","3L9Q;3Q36;4BPU;4BPW;4BPX;4RR2;5DQO;5EXR;5F0Q;5F0S;5I7M;6DHW",NA
"81","P50897","ENSP00000493153","Orf10","PPT1","0.777920681","0.0","6.0","60.0","PPT1_HUMAN","Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)"," Removes thioester-linked fatty acyl groups such as palmitate from modified cysteine residues in proteins or peptides during lysosomal degradation. Prefers acyl chain lengths of 14 to 18 carbons (PubMed:8816748). {ECO:0000269|PubMed:8816748}.","3GRO"," Ceroid lipofuscinosis, neuronal, 1 (CLN1) [MIM:256730]: A form of neuronal ceroid lipofuscinosis with variable age at onset. Infantile, late-infantile, juvenile, and adult onset have been reported. Neuronal ceroid lipofuscinoses are progressive neurodegenerative, lysosomal storage diseases characterized by intracellular accumulation of autofluorescent liposomal material, and clinically by seizures, dementia, visual loss, and/or cerebral atrophy. The lipopigment pattern seen most often in CLN1 is referred to as granular osmiophilic deposits (GROD). {ECO:0000269|PubMed:11506414, ECO:0000269|PubMed:19201763, ECO:0000269|PubMed:19941651, ECO:0000269|PubMed:21990111, ECO:0000269|PubMed:7637805, ECO:0000269|PubMed:9425237, ECO:0000269|PubMed:9664077}. Note=The disease is caused by mutations affecting the gene represented in this entry."
"82","P51148","ENSP00000345689","Nsp7","RAB5C","0.87908593","0.0","8.0","80.0","RAB5C_HUMAN","Ras-related protein Rab-5C (L1880) (RAB5L)"," Protein transport. Probably involved in vesicular traffic (By similarity). {ECO:0000250}.","4KYI",NA
"83","P51149","ENSP00000501618","Nsp7","RAB7A","0.972724229","0.0","10.67","106.67","RAB7A_HUMAN","Ras-related protein Rab-7a"," Key regulator in endo-lysosomal trafficking. Governs early-to-late endosomal maturation, microtubule minus-end as well as plus-end directed endosomal migration and positioning, and endosome-lysosome transport through different protein-protein interaction cascades. Plays a central role, not only in endosomal traffic, but also in many other cellular and physiological events, such as growth-factor-mediated cell signaling, nutrient-transportor mediated nutrient uptake, neurotrophin transport in the axons of neurons and lipid metabolism. Also involved in regulation of some specialized endosomal membrane trafficking, such as maturation of melanosomes, pathogen-induced phagosomes (or vacuoles) and autophagosomes. Plays a role in the maturation and acidification of phagosomes that engulf pathogens, such as S.aureus and M.tuberculosis. Plays a role in the fusion of phagosomes with lysosomes. Plays important roles in microbial pathogen infection and survival, as well as in participating in the life cycle of viruses. Microbial pathogens possess survival strategies governed by RAB7A, sometimes by employing RAB7A function (e.g. Salmonella) and sometimes by excluding RAB7A function (e.g. Mycobacterium). In concert with RAC1, plays a role in regulating the formation of RBs (ruffled borders) in osteoclasts. Controls the endosomal trafficking and neurite outgrowth signaling of NTRK1/TRKA (PubMed:11179213, PubMed:12944476, PubMed:14617358, PubMed:20028791, PubMed:21255211). Regulates the endocytic trafficking of the EGF-EGFR complex by regulating its lysosomal degradation. Involved in the ADRB2-stimulated lipolysis through lipophagy, a cytosolic lipase-independent autophagic pathway (By similarity). Required for the exosomal release of SDCBP, CD63 and syndecan (PubMed:22660413). {ECO:0000250|UniProtKB:P51150, ECO:0000269|PubMed:11179213, ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:14617358, ECO:0000269|PubMed:20028791, ECO:0000269|PubMed:22660413}.","1T91;1YHN;3LAW;6IYB"," Charcot-Marie-Tooth disease 2B (CMT2B) [MIM:600882]: A dominant axonal form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Neuropathies of the CMT2 group are characterized by signs of axonal degeneration in the absence of obvious myelin alterations, normal or slightly reduced nerve conduction velocities, and progressive distal muscle weakness and atrophy. {ECO:0000269|PubMed:12545426, ECO:0000269|PubMed:15455439, ECO:0000269|PubMed:17060578, ECO:0000269|PubMed:20028791, ECO:0000269|PubMed:21151572}. Note=The disease is caused by mutations affecting the gene represented in this entry."
